Ngày,Lần cuối
03/08/2011,1489.0
04/08/2011,1504.0
05/08/2011,1509.0
08/08/2011,1463.0
09/08/2011,1402.0
10/08/2011,1392.0
11/08/2011,1376.0
12/08/2011,1366.0
15/08/2011,1376.0
16/08/2011,1381.0
17/08/2011,1427.0
18/08/2011,1484.0
19/08/2011,1427.0
22/08/2011,1484.0
23/08/2011,1473.0
24/08/2011,1433.0
25/08/2011,1433.0
26/08/2011,1427.0
29/08/2011,1484.0
30/08/2011,1484.0
31/08/2011,1489.0
01/09/2011,1494.0
05/09/2011,1514.0
06/09/2011,1504.0
07/09/2011,1525.0
08/09/2011,1560.0
09/09/2011,1571.0
12/09/2011,1535.0
13/09/2011,1545.0
14/09/2011,1484.0
15/09/2011,1463.0
16/09/2011,1427.0
19/09/2011,1484.0
20/09/2011,1458.0
21/09/2011,1433.0
22/09/2011,1473.0
23/09/2011,1443.0
26/09/2011,1417.0
27/09/2011,1407.0
28/09/2011,1417.0
29/09/2011,1407.0
30/09/2011,1412.0
03/10/2011,1397.0
04/10/2011,1407.0
05/10/2011,1407.0
06/10/2011,1407.0
07/10/2011,1402.0
10/10/2011,1402.0
11/10/2011,1397.0
12/10/2011,1381.0
13/10/2011,1376.0
14/10/2011,1386.0
17/10/2011,1371.0
18/10/2011,1366.0
19/10/2011,1356.0
20/10/2011,1351.0
21/10/2011,1356.0
24/10/2011,1346.0
25/10/2011,1340.0
26/10/2011,1361.0
27/10/2011,1356.0
28/10/2011,1397.0
31/10/2011,1366.0
01/11/2011,1340.0
02/11/2011,1284.0
03/11/2011,1269.0
04/11/2011,1253.0
07/11/2011,1192.0
08/11/2011,1156.0
09/11/2011,1141.0
10/11/2011,1085.0
11/11/2011,1054.0
14/11/2011,1023.0
15/11/2011,972.0
16/11/2011,1003.0
17/11/2011,993.0
18/11/2011,972.0
21/11/2011,957.0
22/11/2011,967.0
23/11/2011,1008.0
24/11/2011,1039.0
25/11/2011,1018.0
28/11/2011,1018.0
29/11/2011,1003.0
30/11/2011,967.0
01/12/2011,967.0
02/12/2011,982.0
05/12/2011,1028.0
06/12/2011,1054.0
07/12/2011,1054.0
08/12/2011,1013.0
09/12/2011,982.0
12/12/2011,977.0
13/12/2011,972.0
14/12/2011,977.0
15/12/2011,993.0
16/12/2011,1023.0
19/12/2011,998.0
20/12/2011,987.0
21/12/2011,972.0
22/12/2011,926.0
23/12/2011,921.0
26/12/2011,875.0
27/12/2011,834.0
28/12/2011,870.0
29/12/2011,870.0
30/12/2011,895.0
03/01/2012,870.0
04/01/2012,849.0
05/01/2012,824.0
06/01/2012,798.0
09/01/2012,793.0
10/01/2012,798.0
11/01/2012,798.0
12/01/2012,834.0
13/01/2012,849.0
16/01/2012,860.0
17/01/2012,860.0
18/01/2012,865.0
19/01/2012,895.0
20/01/2012,906.0
30/01/2012,945.0
31/01/2012,951.0
01/02/2012,996.0
02/02/2012,1041.0
03/02/2012,1047.0
06/02/2012,1086.0
07/02/2012,1081.0
08/02/2012,1131.0
09/02/2012,1165.0
10/02/2012,1109.0
13/02/2012,1058.0
14/02/2012,1081.0
15/02/2012,1064.0
16/02/2012,1058.0
17/02/2012,1069.0
20/02/2012,1120.0
21/02/2012,1097.0
22/02/2012,1148.0
23/02/2012,1204.0
24/02/2012,1261.0
27/02/2012,1323.0
28/02/2012,1261.0
29/02/2012,1294.0
01/03/2012,1300.0
02/03/2012,1334.0
05/03/2012,1396.0
06/03/2012,1351.0
07/03/2012,1368.0
08/03/2012,1300.0
09/03/2012,1294.0
12/03/2012,1238.0
13/03/2012,1249.0
14/03/2012,1249.0
15/03/2012,1306.0
16/03/2012,1244.0
19/03/2012,1261.0
20/03/2012,1283.0
21/03/2012,1311.0
22/03/2012,1300.0
23/03/2012,1300.0
26/03/2012,1294.0
27/03/2012,1289.0
28/03/2012,1283.0
29/03/2012,1283.0
30/03/2012,1300.0
03/04/2012,1311.0
04/04/2012,1294.0
05/04/2012,1323.0
06/04/2012,1306.0
09/04/2012,1306.0
10/04/2012,1328.0
11/04/2012,1390.0
12/04/2012,1458.0
13/04/2012,1452.0
16/04/2012,1519.0
17/04/2012,1497.0
18/04/2012,1446.0
19/04/2012,1407.0
20/04/2012,1407.0
23/04/2012,1401.0
24/04/2012,1429.0
25/04/2012,1480.0
26/04/2012,1446.0
27/04/2012,1463.0
02/05/2012,1418.0
03/05/2012,1413.0
04/05/2012,1458.0
07/05/2012,1474.0
08/05/2012,1519.0
09/05/2012,1514.0
10/05/2012,1519.0
11/05/2012,1525.0
14/05/2012,1452.0
15/05/2012,1401.0
16/05/2012,1384.0
17/05/2012,1373.0
18/05/2012,1351.0
21/05/2012,1390.0
22/05/2012,1390.0
23/05/2012,1384.0
24/05/2012,1356.0
25/05/2012,1407.0
28/05/2012,1390.0
29/05/2012,1373.0
30/05/2012,1356.0
31/05/2012,1351.0
01/06/2012,1351.0
04/06/2012,1294.0
05/06/2012,1294.0
06/06/2012,1328.0
07/06/2012,1356.0
08/06/2012,1351.0
11/06/2012,1351.0
12/06/2012,1345.0
13/06/2012,1334.0
14/06/2012,1328.0
15/06/2012,1390.0
18/06/2012,1407.0
19/06/2012,1368.0
20/06/2012,1368.0
21/06/2012,1368.0
22/06/2012,1368.0
25/06/2012,1368.0
26/06/2012,1351.0
27/06/2012,1373.0
28/06/2012,1351.0
29/06/2012,1351.0
02/07/2012,1345.0
03/07/2012,1323.0
04/07/2012,1323.0
05/07/2012,1317.0
06/07/2012,1306.0
09/07/2012,1294.0
10/07/2012,1272.0
11/07/2012,1272.0
12/07/2012,1289.0
13/07/2012,1311.0
16/07/2012,1294.0
17/07/2012,1300.0
18/07/2012,1300.0
19/07/2012,1317.0
20/07/2012,1294.0
23/07/2012,1306.0
24/07/2012,1294.0
25/07/2012,1294.0
26/07/2012,1294.0
27/07/2012,1294.0
30/07/2012,1294.0
31/07/2012,1294.0
01/08/2012,1283.0
02/08/2012,1278.0
03/08/2012,1289.0
06/08/2012,1289.0
07/08/2012,1289.0
08/08/2012,1289.0
